id,category,severity,severity_ordinal,priority_score,hours_since_submission,hours_since_status_change,related_count,assigned,department_id,sla_deadline_hours,is_safety_risk,breach
0,other,LOW,1,23,96.1,17.63,0,0,7,72,0,1
1,streetlight,LOW,1,33,4.05,0.94,1,1,4,24,0,0
2,streetlight,LOW,1,21,25.46,19.43,0,1,4,24,0,1
3,garbage,LOW,1,20,98.95,7.36,0,1,2,72,0,0
4,pothole,MEDIUM,2,40,46.33,45.08,0,1,1,48,0,1
5,drainage,MEDIUM,2,31,60.88,2.2,0,0,3,48,0,1
6,pothole,MEDIUM,2,40,39.17,32.68,0,1,1,48,0,1
7,other,MEDIUM,2,44,78.94,12.32,1,0,7,72,0,1
8,other,MEDIUM,2,38,28.46,9.23,1,0,7,72,0,0
9,streetlight,LOW,1,41,9.11,8.59,2,1,4,24,0,0
10,other,MEDIUM,2,39,34.33,8.47,0,0,7,72,0,1
11,water_leakage,MEDIUM,2,30,9.47,9.45,0,0,5,24,0,0
12,garbage,MEDIUM,2,37,102.65,30.4,0,1,2,72,0,1
13,water_leakage,HIGH,3,88,0.5,0.36,1,1,5,24,1,1
14,drainage,MEDIUM,2,54,39.2,37.39,2,0,3,48,0,1
15,water_leakage,HIGH,3,80,37.61,7.16,1,1,5,24,1,1
16,water_leakage,HIGH,3,49,25.87,11.73,0,1,5,24,0,1
17,garbage,HIGH,3,47,122.72,6.17,0,0,2,72,0,1
18,streetlight,CRITICAL,4,71,7.13,3.76,1,1,4,24,0,1
19,streetlight,CRITICAL,4,90,28.07,10.51,0,0,4,24,1,1
20,water_leakage,LOW,1,23,9.51,0.68,1,0,5,24,0,0
21,pothole,MEDIUM,2,39,24.06,11.68,0,1,1,48,0,0
22,garbage,HIGH,3,77,104.65,13.71,0,1,2,72,1,1
23,pothole,MEDIUM,2,31,85.03,4.72,0,1,1,48,0,1
24,garbage,MEDIUM,2,31,18.17,3.33,0,1,2,72,0,0
25,water_leakage,LOW,1,18,28.17,12.97,0,0,5,24,0,1
26,streetlight,MEDIUM,2,36,37.35,21.66,0,0,4,24,0,1
27,streetlight,LOW,1,30,30.09,17.53,1,1,4,24,0,1
28,drainage,LOW,1,15,5.05,3.72,0,1,3,48,0,0
29,water_leakage,HIGH,3,71,22.94,1.31,0,1,5,24,1,1
